title,category,salary_usd,location,experience_level,employment_type,work_setting,skills,source
Machine Learning Researcher,Machine Learning and AI,50000.0,Ukraine,Senior,Freelance,Hybrid,,jobs_in_data
Big Data Engineer,Data Engineering,48585.0,Spain,Mid-level,Full-time,Remote,,jobs_in_data
Lead Data Analyst,Data Analysis,68000.0,United States,Mid-level,Full-time,In-person,,jobs_in_data
BI Data Engineer,Data Engineering,60000.0,United States,Entry-level,Full-time,Remote,,jobs_in_data
Data Engineer,Data Engineering,59888.0,Netherlands,Entry-level,Full-time,Remote,,jobs_in_data
Business Data Analyst,Data Analysis,21593.0,Spain,Entry-level,Full-time,In-person,,jobs_in_data
Applied Machine Learning Scientist,Machine Learning and AI,43187.0,Germany,Entry-level,Full-time,Hybrid,,jobs_in_data
Data Scientist,Data Science and Research,122638.0,Switzerland,Entry-level,Full-time,Hybrid,,jobs_in_data
Data Scientist,Data Science and Research,73546.0,Germany,Mid-level,Full-time,Remote,,jobs_in_data
Lead Data Scientist,Data Science and Research,172309.0,Ireland,Senior,Full-time,Remote,,jobs_in_data
Cloud Database Engineer,Cloud and Database,170000.0,United States,Senior,Full-time,Remote,,jobs_in_data
Applied Machine Learning Scientist,Machine Learning and AI,90000.0,United States,Senior,Full-time,Remote,,jobs_in_data
Data Manager,Leadership and Management,65000.0,Colombia,Senior,Full-time,In-person,,jobs_in_data
Software Data Engineer,Data Engineering,74883.0,Singapore,Mid-level,Full-time,Remote,,jobs_in_data
AI Programmer,Machine Learning and AI,70000.0,Australia,Entry-level,Full-time,In-person,,jobs_in_data
AI Developer,Machine Learning and AI,80000.0,Sweden,Entry-level,Full-time,Hybrid,,jobs_in_data
Data Engineer,Data Engineering,75577.0,Slovenia,Mid-level,Full-time,Remote,,jobs_in_data
ML Engineer,Machine Learning and AI,260000.0,Canada,Senior,Full-time,Remote,,jobs_in_data
Deep Learning Researcher,Machine Learning and AI,124163.0,Germany,Senior,Full-time,In-person,,jobs_in_data
Data Analytics Specialist,Leadership and Management,105000.0,United States,Senior,Full-time,In-person,,jobs_in_data
AI Developer,Machine Learning and AI,215936.0,Germany,Entry-level,Full-time,Remote,,jobs_in_data
Data Engineer,Data Engineering,72000.0,Mexico,Mid-level,Full-time,Remote,,jobs_in_data
Data Scientist,Data Science and Research,64781.0,France,Mid-level,Full-time,Hybrid,,jobs_in_data
Software Data Engineer,Data Engineering,50000.0,Australia,Senior,Freelance,Hybrid,,jobs_in_data
Data Analyst,Data Analysis,30000.0,India,Entry-level,Full-time,Hybrid,,jobs_in_data
Head of Data,Leadership and Management,75577.0,Portugal,Senior,Full-time,Remote,,jobs_in_data
Data Science Manager,Data Science and Research,106000.0,Russia,Executive,Full-time,In-person,,jobs_in_data
Data Science Manager,Data Science and Research,150000.0,Mexico,Senior,Full-time,Remote,,jobs_in_data
BI Data Analyst,Data Analysis,72338.0,Germany,Senior,Full-time,Remote,,jobs_in_data
Lead Data Scientist,Data Science and Research,192000.0,United States,Senior,Full-time,Remote,,jobs_in_data
Head of Data Science,Data Science and Research,162288.0,United Kingdom,Executive,Full-time,In-person,,jobs_in_data
AI Scientist,Machine Learning and AI,38868.0,Spain,Mid-level,Full-time,Hybrid,,jobs_in_data
AI Scientist,Machine Learning and AI,30000.0,Ghana,Mid-level,Full-time,In-person,,jobs_in_data
Data Analyst,Data Analysis,110736.0,Croatia,Mid-level,Full-time,In-person,,jobs_in_data
